fileName,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14
25dfd34de877d7602ad6653d801afaa8,T,F,-,-,F,-,-,-,T,T,F,F,-,T
90e08b0f8dcc70f38bf09522a04c2dd9,-,-,-,-,-,-,T,T,-,-,-,-,-,-
0213ba65b562c9a8c6f7b994f1065516,F,-,F,-,-,T,-,-,F,-,F,-,-,F
652856b14d05f4ac51887a50b6948de2,-,-,-,-,T,-,-,-,-,-,-,T,-,-
40a68f77e8d665086e38a89e3f999da7,-,-,-,-,-,-,-,-,-,-,-,-,-,T
80b535aa0b01bc1557ee75e4e9b6e3e4,-,-,-,-,-,-,T,-,-,-,-,-,-,-
34f51ab43fce2d3ac15b4ed6148d8c54,-,-,-,-,-,-,T,-,-,-,-,-,-,-
efc20a8ad5985aac60351c5818e2efb2,T,T,-,T,T,F,-,-,T,-,T,T,T,T
5add76d2d62d2f2b36c607d4aa0be119,-,-,-,-,-,-,-,-,-,-,-,-,-,T
2cf4e744dbc23248291eb9ab55c12c8f,-,-,-,-,-,-,-,-,-,-,-,-,T,T
5ae1bdcf07a34dc85119ffd5fdb60d53,-,-,-,-,-,-,-,-,-,-,-,-,T,T
31b8fa74210a9e1e9207d40ab2ed2d8e,-,-,-,-,-,-,-,-,-,-,-,-,T,T
9059c2b077b0beecc1c11a1a5288fb52,F,-,F,-,-,T,-,-,F,-,F,-,-,-
9278d91198114ba5677f42a27d77f763,-,-,-,-,-,-,-,-,T,-,-,-,-,-
514f9c748609571ddfd3818b9a04841a,-,-,-,-,-,T,-,T,-,-,-,-,-,-
9db3e2d6452f81c086e837aa6ceefc98,F,-,-,F,-,-,-,-,-,F,F,-,F,F
df0eaa19ca185ef9982fae30ab8d0830,-,-,-,-,-,-,-,-,-,-,-,-,F,F
c117191a49174507338363a6a628b181,-,-,-,-,-,-,T,-,-,-,-,-,-,-
eebe0181938539ee7c77045b0d00b3fd,-,-,-,-,-,-,-,T,-,-,-,-,-,-
9f94966d5719e28fffb8e57591b42fff,T,F,-,-,T,T,-,F,-,-,F,T,-,-
5da61106e38dbe193ba9214359759e67,-,-,-,-,-,-,-,-,-,-,-,-,T,-
e2b2689aab29ce64c188bfdb8f3486e7,F,-,F,-,-,T,-,-,-,F,F,-,-,F
178fd19250b1d1e55f7e614578d7f8db,-,-,-,-,-,-,-,-,-,-,-,-,T,T
62c7397367919221f68a574609b8a0b3,-,-,-,-,-,-,T,-,-,-,-,-,-,-
852d0fb9c842e759dcb678427e85ea94,-,-,-,-,-,F,-,T,-,-,-,-,-,-
64f1f80b7baec66f0ea454f74e33af14,T,-,-,-,-,-,T,-,-,-,-,-,T,T
1a5b250e684dbe70c8795ff6afb13fdb,F,-,-,F,T,T,T,-,-,F,F,T,-,-
2caefa4a2dfe25ec7e6d9807eaa76af9,-,-,-,-,-,-,-,-,-,-,T,-,-,-
2e431182da5c6bab80d265d34cdb832b,F,F,-,F,-,F,-,-,F,-,F,-,-,F
4067b9c7d2e69a926ecf4920759ad5d5,-,-,-,-,-,-,T,-,-,-,-,-,-,-
db12dbc04e8d5d54912be506d1296e64,F,-,F,-,-,T,-,-,F,-,F,-,-,F
e06bab8558904bb18265d665a5aa9ba6,-,-,F,-,-,-,-,-,-,-,-,-,F,-
5f15c5dbf8c9d54903e7b74f7ce25522,F,F,-,-,F,-,-,-,T,F,F,F,-,T
33d86b69614137f6ece67ee791069495,-,-,-,F,-,T,-,-,-,-,F,-,F,F
2daf7a96d440906a0d4dceae5b9175a3,-,-,-,-,-,-,-,T,-,-,-,-,-,-
dda5feb01f67208b710a91634a59eab5,-,-,-,-,-,T,-,T,-,-,-,-,T,T
25351509ad8cad6d943d4bda9466c393,T,T,-,T,T,T,-,-,T,-,T,T,T,T
c4c940be7d8ae27d3fc4ee47652c71da,-,-,-,-,-,-,T,-,-,-,-,-,-,-
