fileName,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14
a66dbe745e38fbf23dfba1e833f438b4,F,-,-,F,-,T,-,T,-,F,F,-,T,T
847a8f2c60ef11d251c4b384a27acb1c,T,-,-,-,T,T,T,T,-,T,-,T,-,-
24e81aeda82d158ff71ad25daf8fb39f,-,-,-,-,-,T,-,-,-,-,-,-,-,-
1e778972a5b6f5e57eaaaea15bec294e,-,-,-,-,-,-,-,F,-,-,-,-,-,-
c182b62cc1fe360417bde6f62426e73f,F,F,-,-,F,-,-,-,T,F,-,F,-,-
9c25519725b32c5d196920609103581d,-,-,-,-,-,-,T,-,-,-,-,-,-,-
33d844c2ac3c1f0e35bb2df561bd91c9,-,-,-,-,-,-,-,-,-,-,-,-,T,T
0065925e4ba65c5c30324830bce178a6,-,-,F,-,-,-,-,-,-,-,-,-,F,F
a87172882bea3e8c64c169c45d6f9f55,T,-,-,T,T,F,-,-,T,-,-,T,T,T
da4782590a06a8422d8641b2e5a9c989,-,-,-,-,-,-,-,T,-,-,-,-,-,-
d2fc434208f4096e677dbdff1b163156,F,-,-,F,T,T,-,T,-,F,F,T,F,F
cf09dc1ad164e4f13e2d7fb2cfd4b496,F,-,-,F,-,T,T,T,-,F,F,-,F,F
964c6f2a0d10069a44dcd7a35247ac7d,-,-,-,-,-,-,T,-,-,-,-,-,-,-
78baedb9f1a4527e7725f26394daad0c,-,-,-,-,T,-,-,-,-,-,T,-,-,-
069012d3bcc5a7b9e2cbe02b4c0a0d8e,-,-,-,-,-,-,T,-,-,-,-,-,-,T
e331aaaf9456aef23ee59cdcb99d248e,-,-,-,-,-,-,T,-,-,-,-,-,-,-
2dff522e92dc769a685f2838ca414ca2,-,-,-,-,-,-,T,-,-,-,-,-,-,-
ab877940c11dd0defa29a124b3078d5b,-,-,-,-,-,-,T,-,-,-,-,-,-,-
50e0fa5d14b96ae027426bb83d3a7a75,-,-,T,-,T,-,-,-,-,-,-,T,-,-
958cf7838f92a0feb3794e8a4fcbac3b,-,-,-,-,-,T,-,-,-,-,-,-,-,-
7e6e4764cfb2c222c527ad482c0044b7,-,-,-,-,-,-,-,T,-,-,-,-,-,-
1a37a9187eb6164e33bcb14f7cf4854f,T,-,-,T,T,T,-,T,-,T,T,T,-,-
56f211227ad417ba59ba5a45c2b93403,-,-,-,-,-,-,-,-,-,-,-,-,T,-
a6b6f4e1a61c4aafc0902e79afad2b73,-,-,-,-,-,-,T,-,-,-,-,-,-,-
dfcb15c9123b28a06c8e87b7146a8653,-,-,-,-,-,T,-,T,-,-,-,-,-,-
114c14566ad5501e06891fcd19c9bc9c,-,-,-,-,-,-,T,-,-,-,-,-,-,-
63d9ca447e7dff7e02f65543c14c907d,-,-,-,-,-,-,-,T,-,-,-,-,-,-
7ed9647cfe0ea3aef244daf5149a302c,F,F,-,-,F,-,-,-,T,F,-,F,-,T
889b5cf38941d9fff80c520a5c491f88,T,T,-,T,T,T,-,-,T,-,T,T,-,F
bec5ad6a2e6ecad192c45c2680f3fd56,-,-,-,-,-,F,-,-,-,-,-,-,-,-
986e4f49d281752e1dcf4ff2309f18f2,-,-,-,-,-,-,T,-,-,-,-,-,-,-
dd7f70f061ba02ad51bc59d436b4845c,F,-,-,T,T,T,-,T,-,F,T,T,F,F
f8b5e0388f03e5b642a1b31c68ced8d1,T,-,F,-,T,T,-,T,-,T,F,T,-,F
1eaa02d869cb73e6c73a14288264baf9,T,-,-,T,T,T,-,T,-,T,T,T,-,-
86c911d37a838b2ff57cc9896dc17bef,-,-,-,-,-,-,T,-,-,-,-,-,-,-
28a040266a7d531976556fc2afb910a8,-,-,-,-,-,-,T,-,-,-,-,-,-,-
c0d9e522b93e43773a6aa311b81e7e63,-,-,-,F,-,-,T,-,-,-,-,-,T,F
14d8e29cb69153c42e031ff04b544322,F,F,-,-,-,T,-,-,F,-,F,-,-,F
7234b5f48eed2dd2f25e16861e491b10,-,-,-,-,T,-,-,T,-,-,-,-,-,-
3cd833191c08d33a8214a77428732f16,T,-,-,-,T,-,-,-,-,T,-,T,-,-
d9c02505c6aef85b7803998599a6941c,-,-,-,-,-,-,T,-,-,-,-,-,-,-
5b1faae4f0cdef29da0aae3b29752499,F,F,F,-,-,T,T,-,F,-,F,-,-,F
dbc5a8d8976a166c85ea7df4acdc445f,T,-,-,-,-,-,-,-,-,T,-,-,-,-
aec5deda06f5bc2dc953fb103847ffd9,-,-,-,-,-,-,T,-,-,-,-,-,-,-
e6302103fcde6b7d0296d1005e5c785d,-,-,-,-,-,T,-,T,-,-,-,-,-,-
1501839811cb4b1c76011a5c9711ab74,-,-,-,-,-,-,T,-,-,-,-,-,-,-
4e50fb7a6c56847680714b365823e822,F,F,-,-,-,F,-,-,F,-,F,-,-,F
8e44a306e4976b72e7dc409f63247b9f,-,-,-,-,-,-,-,-,-,-,-,-,T,T
3be83c4bf46e3b8cd3a9bb71e6c9106d,-,-,-,-,-,-,T,-,-,-,-,-,-,-
7f1b4717624bf9be9e0f41f3f601eac4,-,-,-,-,-,-,-,T,-,-,-,-,-,-
90d63b490e358643779704f97a1c0fd6,F,-,-,F,-,-,-,-,-,F,F,-,F,F
13e98e6db5bbcfe289e9bb2f4bfdabc3,T,-,-,F,F,-,-,T,-,F,F,F,F,F
0c0ec9f5b5be92c2d869f48f7b8775a1,-,-,-,-,-,F,-,-,-,-,-,-,-,-
b2b2db9ef3e1f5c618c34fa2f9255326,-,-,-,-,-,-,T,-,-,-,-,-,-,-
a70a276e0b1afc5316aee53d1de24046,-,-,-,-,-,-,-,-,T,-,-,-,-,-
ca09c5e1eb808bda0ccb837651268935,F,F,-,-,-,T,-,-,F,-,F,-,-,T
467cb0554d01f77911f72e8523f7bea6,-,-,-,-,-,-,T,-,-,-,-,-,-,-
e0a4291cfbe4aecf7915dbfeed042a61,-,-,-,-,-,-,T,-,-,-,-,-,-,-
21716ab8eac936b1f6c828fb6e2cfa33,-,-,-,F,-,F,T,-,-,-,-,-,-,F
9398a2200b7cbbd9b21b3f1abcc0f4d9,-,-,-,-,-,-,T,-,-,-,-,-,-,-
b5afbb1224d783a248f5ca6eb9581f61,-,-,-,-,-,-,T,-,-,-,-,-,-,-
3c66e199ef985a03aaebd52e1f833977,-,-,-,-,-,-,-,T,-,-,-,-,-,-
7c36d2600ec43b87c6c5183b2ac9047d,-,-,-,-,-,-,T,-,-,-,-,-,-,-
ddce12a8fe1b0084378fb94bf50ae182,T,T,-,-,T,T,-,F,T,-,T,T,-,T
2b37b5aa0f3bb2c48053a73fce050266,-,-,-,-,T,-,-,-,-,-,-,T,-,-
6677d0a2359b137e6e4ccff78daf519f,-,-,-,-,-,-,T,-,-,-,-,-,-,-
fc803f6a1e1aa9d99d7c93276521b901,-,-,-,-,-,-,T,-,-,-,-,-,-,-
ac42d5d9e0a1342c7b05062a04663d99,-,-,-,-,-,F,-,-,-,-,-,-,-,-
37626cc4fed82fc4d1885da083022e0d,-,-,-,-,-,T,-,-,T,-,-,-,-,-
93f06a87c53f6be9e4c07ea62a4926cd,T,T,-,-,T,T,T,-,-,-,T,T,-,-
